Name,City,Region,Applied,Admitted,Enrolled,Acceptance Rate
SAINT JOSEPH-NOTRE DAME HS,Alameda,Alameda,27,8,4,0.2962962962962963
SAINT MARGARETS EPISCOPAL SCH,San Juan Capistrano,Orange,59,18,5,0.3050847457627119
SAINT MARYS COLLEGE HS,Berkeley,Alameda,41,5,3,0.12195121951219512
SAINT MARYS HIGH SCHOOL,Stockton,San Joaquin,22,5,4,0.22727272727272727
SALINAS HIGH SCHOOL,Salinas,Monterey,43,14,5,0.32558139534883723
SAN CLEMENTE HIGH SCHOOL,San Clemente,Orange,82,19,5,0.23170731707317074
SAN DIEGO INTL STUDIES,San Diego,San Diego,68,18,7,0.2647058823529412
SAN DIEGUITO ACADEMY,Encinitas,San Diego,95,15,7,0.15789473684210525
SAN FERNANDO HIGH SCHOOL,San Fernando,Los Angeles,38,10,6,0.2631578947368421
SAN FRANCISCO INTERNATIONAL HS,San Francisco,San Francisco,14,4,3,0.2857142857142857
SAN FRANCISCO UNIVERSITY HS,San Francisco,San Francisco,55,13,3,0.23636363636363636
SAN GABRIEL HIGH SCHOOL,San Gabriel,Los Angeles,68,22,10,0.3235294117647059
SAN JOSE HIGH SCHOOL,San Jose,Santa Clara,22,6,3,0.2727272727272727
SAN JUAN HILLS HIGH SCHOOL,San Juan Capistrano,Orange,64,11,4,0.171875
SAN LEANDRO HIGH SCHOOL,San Leandro,Alameda,74,10,9,0.13513513513513514
SAN LORENZO HIGH SCHOOL,San Lorenzo,Alameda,35,10,7,0.2857142857142857
SAN LUIS OBISPO HIGH SCHOOL,San Luis Obispo,San Luis Obispo,64,12,6,0.1875
SAN MARCOS HIGH SCHOOL,San Marcos,San Diego,89,21,8,0.23595505617977527
SAN MARCOS HIGH SCHOOL,Santa Barbara,Santa Barbara,71,18,7,0.2535211267605634
SAN MARIN HIGH SCHOOL,Novato,Marin,47,11,6,0.23404255319148937
SAN MARINO HIGH SCHOOL,San Marino,Los Angeles,100,22,8,0.22
SAN MATEO HIGH SCHOOL,San Mateo,San Mateo,91,16,8,0.17582417582417584
SAN RAMON VALLEY HIGH SCHOOL,Danville,Contra Costa,94,22,16,0.23404255319148937
SANTA BARBARA SENIOR HIGH SCHO,Santa Barbara,Santa Barbara,95,12,3,0.12631578947368421
SANTA CLARA HIGH SCHOOL,Santa Clara,Santa Clara,74,17,9,0.22972972972972974
SANTA CRUZ HIGH SCHOOL,Santa Cruz,Santa Cruz,40,13,7,0.325
SANTA FE HIGH SCHOOL,Santa Fe Springs,Los Angeles,45,12,3,0.26666666666666666
SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,Orange,87,23,8,0.26436781609195403
SANTA MARIA HIGH SCHOOL,Santa Maria,Santa Barbara,25,5,4,0.2
SANTA MONICA HIGH SCHOOL,Santa Monica,Los Angeles,195,38,15,0.19487179487179487
SANTA SUSANA HIGH SCHOOL,Simi Valley,Ventura,43,8,4,0.18604651162790697
SANTA TERESA HIGH SCHOOL,San Jose,Santa Clara,68,15,7,0.22058823529411764
SANTIAGO HIGH SCHOOL,Corona,Riverside,76,14,3,0.18421052631578946
