"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2012 General Election","CLEARFIELD","President of the United States","StateWide","Green","STEIN, JILL","160","0","0","","","","","","","","",""
"2012 General Election","CLEARFIELD","President of the United States","StateWide","Libertarian","JOHNSON, GARY","339","0","0","","","","","","","","",""
"2012 General Election","CLINTON","President of the United States","StateWide","Republican","ROMNEY, MITT","7,303","0","0","","","","","","","","",""
"2012 General Election","CLINTON","President of the United States","StateWide","Democratic","OBAMA, BARACK","5,734","0","0","","","","","","","","",""
"2012 General Election","CLINTON","President of the United States","StateWide","Green","STEIN, JILL","57","0","0","","","","","","","","",""
"2012 General Election","CLINTON","President of the United States","StateWide","Libertarian","JOHNSON, GARY","171","0","0","","","","","","","","",""
"2012 General Election","COLUMBIA","President of the United States","StateWide","Republican","ROMNEY, MITT","14,236","0","0","","","","","","","","",""
"2012 General Election","COLUMBIA","President of the United States","StateWide","Democratic","OBAMA, BARACK","10,937","0","0","","","","","","","","",""
"2012 General Election","COLUMBIA","President of the United States","StateWide","Green","STEIN, JILL","126","0","0","","","","","","","","",""
"2012 General Election","COLUMBIA","President of the United States","StateWide","Libertarian","JOHNSON, GARY","324","0","0","","","","","","","","",""
"2012 General Election","CRAWFORD","President of the United States","StateWide","Republican","ROMNEY, MITT","20,901","0","0","","","","","","","","",""
"2012 General Election","CRAWFORD","President of the United States","StateWide","Democratic","OBAMA, BARACK","13,883","0","0","","","","","","","","",""
"2012 General Election","CRAWFORD","President of the United States","StateWide","Green","STEIN, JILL","168","0","0","","","","","","","","",""
"2012 General Election","CRAWFORD","President of the United States","StateWide","Libertarian","JOHNSON, GARY","436","0","0","","","","","","","","",""
"2012 General Election","CUMBERLAND","President of the United States","StateWide","Republican","ROMNEY, MITT","64,809","0","0","","","","","","","","",""
"2012 General Election","CUMBERLAND","President of the United States","StateWide","Democratic","OBAMA, BARACK","44,367","0","0","","","","","","","","",""
"2012 General Election","CUMBERLAND","President of the United States","StateWide","Green","STEIN, JILL","447","0","0","","","","","","","","",""
